,tokens,intent,intents_nums,BIO,BIO_nums,tokens_list,translated,comments,translation,proj,source_dict,source_dict_light,transfer_dict,transfer_dict_light,BIO_list_trans,BIO_nums_list_trans
862,cool whats the phone number,request_phone,4,"['O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1]","['cool', 'whats', 'the', 'phone', 'number']","{'text': 'cool, was ist die Telefonnummer', 'to': 'de', 'alignment': {'proj': '0:3-0:4 5:9-6:8 5:9-10:12 11:13-14:16 15:19-18:30'}}",1,"cool, was ist die Telefonnummer",0:3-0:4 5:9-6:8 5:9-10:12 11:13-14:16 15:19-18:30,"{'0:3': ['cool', 'O', 1], '5:9': ['whats', 'O', 1], '11:13': ['the', 'O', 1], '15:19': ['phone', 'O', 1], '21:26': ['number', 'O', 1]}","{0: ['cool', 'O', 1], 5: ['whats', 'O', 1], 11: ['the', 'O', 1], 15: ['phone', 'O', 1], 21: ['number', 'O', 1]}","{'0:4': '0:3', '6:8': '5:9', '10:12': '5:9', '14:16': '11:13', '18:30': '15:19'}","{0: 0, 6: 5, 10: 5, 14: 11, 18: 15}","['O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1]"
863,okay how about the address,request_addr,3,"['O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1]","['okay', 'how', 'about', 'the', 'address']","{'text': 'okay wie wäre es mit der Adresse', 'to': 'de', 'alignment': {'proj': '0:3-0:3 5:7-5:7 5:7-14:15 9:13-9:12 15:17-17:19 15:17-21:23 19:25-25:31'}}",1,okay wie wäre es mit der Adresse,0:3-0:3 5:7-5:7 5:7-14:15 9:13-9:12 15:17-17:19 15:17-21:23 19:25-25:31,"{'0:3': ['okay', 'O', 1], '5:7': ['how', 'O', 1], '9:13': ['about', 'O', 1], '15:17': ['the', 'O', 1], '19:25': ['address', 'O', 1]}","{0: ['okay', 'O', 1], 5: ['how', 'O', 1], 9: ['about', 'O', 1], 15: ['the', 'O', 1], 19: ['address', 'O', 1]}","{'0:3': '0:3', '5:7': '5:7', '14:15': '5:7', '9:12': '9:13', '17:19': '15:17', '21:23': '15:17', '25:31': '19:25'}","{0: 0, 5: 5, 14: 5, 9: 9, 17: 15, 21: 15, 25: 19}","['O', 'O', 'O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1, 1, 1]"
864,awesome thank you good bye,bye__thankyou,5,"['O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1]","['awesome', 'thank', 'you', 'good', 'bye']","{'text': 'super danke aufs Neue', 'to': 'de', 'alignment': {'proj': '0:6-0:4 8:12-6:10 18:21-12:15 23:25-17:20'}}",1,super danke aufs Neue,0:6-0:4 8:12-6:10 18:21-12:15 23:25-17:20,"{'0:6': ['awesome', 'O', 1], '8:12': ['thank', 'O', 1], '14:16': ['you', 'O', 1], '18:21': ['good', 'O', 1], '23:25': ['bye', 'O', 1]}","{0: ['awesome', 'O', 1], 8: ['thank', 'O', 1], 14: ['you', 'O', 1], 18: ['good', 'O', 1], 23: ['bye', 'O', 1]}","{'0:4': '0:6', '6:10': '8:12', '12:15': '18:21', '17:20': '23:25'}","{0: 0, 6: 8, 12: 18, 17: 23}","['O', 'O', 'O', 'O']","[1, 1, 1, 1]"
865,uh cheap restaurant serving scandinavian food,inform_food__inform_pricerange,10,"['O', 'B-pricerange', 'O', 'O', 'B-food', 'O']","[1, 0, 1, 1, 3, 1]","['uh', 'cheap', 'restaurant', 'serving', 'scandinavian', 'food']","{'text': 'äh billiges Restaurant mit skandinavischem Essen', 'to': 'de', 'alignment': {'proj': '0:1-0:1 3:7-3:10 9:18-12:21 20:26-23:25 28:39-27:41 41:44-43:47'}}",1,äh billiges Restaurant mit skandinavischem Essen,0:1-0:1 3:7-3:10 9:18-12:21 20:26-23:25 28:39-27:41 41:44-43:47,"{'0:1': ['uh', 'O', 1], '3:7': ['cheap', 'B-pricerange', 0], '9:18': ['restaurant', 'O', 1], '20:26': ['serving', 'O', 1], '28:39': ['scandinavian', 'B-food', 3], '41:44': ['food', 'O', 1]}","{0: ['uh', 'O', 1], 3: ['cheap', 'B-pricerange', 0], 9: ['restaurant', 'O', 1], 20: ['serving', 'O', 1], 28: ['scandinavian', 'B-food', 3], 41: ['food', 'O', 1]}","{'0:1': '0:1', '3:10': '3:7', '12:21': '9:18', '23:25': '20:26', '27:41': '28:39', '43:47': '41:44'}","{0: 0, 3: 3, 12: 9, 23: 20, 27: 28, 43: 41}","['O', 'B-pricerange', 'O', 'O', 'B-food', 'O']","[1, 0, 1, 1, 3, 1]"
866,is there anything that serves caribbean food,inform_food__reqalts,15,"['O', 'O', 'O', 'O', 'O', 'B-food', 'O']","[1, 1, 1, 1, 1, 3, 1]","['is', 'there', 'anything', 'that', 'serves', 'caribbean', 'food']","{'text': 'Gibt es etwas, das karibisches Essen serviert', 'to': 'de', 'alignment': {'proj': '3:7-0:3 3:7-5:6 18:21-8:13 18:21-15:17 23:28-37:44 30:38-19:29 40:43-31:35'}}",1,"Gibt es etwas, das karibisches Essen serviert",3:7-0:3 3:7-5:6 18:21-8:13 18:21-15:17 23:28-37:44 30:38-19:29 40:43-31:35,"{'0:1': ['is', 'O', 1], '3:7': ['there', 'O', 1], '9:16': ['anything', 'O', 1], '18:21': ['that', 'O', 1], '23:28': ['serves', 'O', 1], '30:38': ['caribbean', 'B-food', 3], '40:43': ['food', 'O', 1]}","{0: ['is', 'O', 1], 3: ['there', 'O', 1], 9: ['anything', 'O', 1], 18: ['that', 'O', 1], 23: ['serves', 'O', 1], 30: ['caribbean', 'B-food', 3], 40: ['food', 'O', 1]}","{'0:3': '3:7', '5:6': '3:7', '8:13': '18:21', '15:17': '18:21', '37:44': '23:28', '19:29': '30:38', '31:35': '40:43'}","{0: 3, 5: 3, 8: 18, 15: 18, 37: 23, 19: 30, 31: 40}","['O', 'O', 'O', 'O', 'B-food', 'O', 'O']","[1, 1, 1, 1, 3, 1, 1]"
867,i need an expensive restaurant that serves french food,inform_food__inform_pricerange,10,"['O', 'O', 'O', 'B-pricerange', 'O', 'O', 'O', 'B-food', 'O']","[1, 1, 1, 0, 1, 1, 1, 3, 1]","['i', 'need', 'an', 'expensive', 'restaurant', 'that', 'serves', 'french', 'food']","{'text': 'Ich brauche ein teures Restaurant, das französisches Essen serviert', 'to': 'de', 'alignment': {'proj': '0:0-0:2 2:5-4:10 7:8-12:14 10:18-16:21 20:29-23:33 31:34-35:37 36:41-59:66 43:48-39:51 50:53-53:57'}}",1,"Ich brauche ein teures Restaurant, das französisches Essen serviert",0:0-0:2 2:5-4:10 7:8-12:14 10:18-16:21 20:29-23:33 31:34-35:37 36:41-59:66 43:48-39:51 50:53-53:57,"{'0:0': ['i', 'O', 1], '2:5': ['need', 'O', 1], '7:8': ['an', 'O', 1], '10:18': ['expensive', 'B-pricerange', 0], '20:29': ['restaurant', 'O', 1], '31:34': ['that', 'O', 1], '36:41': ['serves', 'O', 1], '43:48': ['french', 'B-food', 3], '50:53': ['food', 'O', 1]}","{0: ['i', 'O', 1], 2: ['need', 'O', 1], 7: ['an', 'O', 1], 10: ['expensive', 'B-pricerange', 0], 20: ['restaurant', 'O', 1], 31: ['that', 'O', 1], 36: ['serves', 'O', 1], 43: ['french', 'B-food', 3], 50: ['food', 'O', 1]}","{'0:2': '0:0', '4:10': '2:5', '12:14': '7:8', '16:21': '10:18', '23:33': '20:29', '35:37': '31:34', '59:66': '36:41', '39:51': '43:48', '53:57': '50:53'}","{0: 0, 4: 2, 12: 7, 16: 10, 23: 20, 35: 31, 59: 36, 39: 43, 53: 50}","['O', 'O', 'O', 'B-pricerange', 'O', 'O', 'B-food', 'O', 'O']","[1, 1, 1, 0, 1, 1, 3, 1, 1]"
868,im looking for a restaurant in the west part of town that should serve english food,inform_area__inform_food,28,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-area', 'O', 'O', 'O', 'O', 'O', 'O', 'B-food', 'O']","[1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 3, 1]","['im', 'looking', 'for', 'a', 'restaurant', 'in', 'the', 'west', 'part', 'of', 'town', 'that', 'should', 'serve', 'english', 'food']","{'text': 'Ich suche ein Restaurant im westlichen Teil der Stadt, das englisches Essen servieren sollte', 'to': 'de', 'alignment': {'proj': '0:1-0:2 3:9-4:8 15:15-10:12 17:26-14:23 28:29-25:26 35:38-28:37 40:43-39:42 45:46-44:46 53:56-48:53 53:56-55:57 58:63-86:91 65:69-76:84 71:77-59:68 79:82-70:74'}}",1,"Ich suche ein Restaurant im westlichen Teil der Stadt, das englisches Essen servieren sollte",0:1-0:2 3:9-4:8 15:15-10:12 17:26-14:23 28:29-25:26 35:38-28:37 40:43-39:42 45:46-44:46 53:56-48:53 53:56-55:57 58:63-86:91 65:69-76:84 71:77-59:68 79:82-70:74,"{'0:1': ['im', 'O', 1], '3:9': ['looking', 'O', 1], '11:13': ['for', 'O', 1], '15:15': ['a', 'O', 1], '17:26': ['restaurant', 'O', 1], '28:29': ['in', 'O', 1], '31:33': ['the', 'O', 1], '35:38': ['west', 'B-area', 2], '40:43': ['part', 'O', 1], '45:46': ['of', 'O', 1], '48:51': ['town', 'O', 1], '53:56': ['that', 'O', 1], '58:63': ['should', 'O', 1], '65:69': ['serve', 'O', 1], '71:77': ['english', 'B-food', 3], '79:82': ['food', 'O', 1]}","{0: ['im', 'O', 1], 3: ['looking', 'O', 1], 11: ['for', 'O', 1], 15: ['a', 'O', 1], 17: ['restaurant', 'O', 1], 28: ['in', 'O', 1], 31: ['the', 'O', 1], 35: ['west', 'B-area', 2], 40: ['part', 'O', 1], 45: ['of', 'O', 1], 48: ['town', 'O', 1], 53: ['that', 'O', 1], 58: ['should', 'O', 1], 65: ['serve', 'O', 1], 71: ['english', 'B-food', 3], 79: ['food', 'O', 1]}","{'0:2': '0:1', '4:8': '3:9', '10:12': '15:15', '14:23': '17:26', '25:26': '28:29', '28:37': '35:38', '39:42': '40:43', '44:46': '45:46', '48:53': '53:56', '55:57': '53:56', '86:91': '58:63', '76:84': '65:69', '59:68': '71:77', '70:74': '79:82'}","{0: 0, 4: 3, 10: 15, 14: 17, 25: 28, 28: 35, 39: 40, 44: 45, 48: 53, 55: 53, 86: 58, 76: 65, 59: 71, 70: 79}","['O', 'O', 'O', 'O', 'O', 'B-area', 'O', 'O', 'O', 'O', 'B-food', 'O', 'O', 'O']","[1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 3, 1, 1, 1]"
869,english,inform_food,6,['B-food'],[3],['english'],"{'text': 'Englisch', 'to': 'de', 'alignment': {'proj': '0:6-0:7'}}",1,Englisch,0:6-0:7,"{'0:6': ['english', 'B-food', 3]}","{0: ['english', 'B-food', 3]}",{'0:7': '0:6'},{0: 0},['B-food'],[3]
870,british,inform_food,6,['B-food'],[3],['british'],"{'text': 'Britisch', 'to': 'de', 'alignment': {'proj': '0:6-0:7'}}",1,Britisch,0:6-0:7,"{'0:6': ['british', 'B-food', 3]}","{0: ['british', 'B-food', 3]}",{'0:7': '0:6'},{0: 0},['B-food'],[3]
871,an expensive restaurant in the south part of town,inform_area__inform_pricerange,8,"['O', 'B-pricerange', 'O', 'O', 'O', 'B-area', 'O', 'O', 'O']","[1, 0, 1, 1, 1, 2, 1, 1, 1]","['an', 'expensive', 'restaurant', 'in', 'the', 'south', 'part', 'of', 'town']","{'text': 'ein teures Restaurant im südlichen Teil der Stadt', 'to': 'de', 'alignment': {'proj': '0:1-0:2 3:11-4:9 13:22-11:20 24:25-22:23 31:35-25:33 37:40-35:38 42:43-40:42 45:48-44:48'}}",1,ein teures Restaurant im südlichen Teil der Stadt,0:1-0:2 3:11-4:9 13:22-11:20 24:25-22:23 31:35-25:33 37:40-35:38 42:43-40:42 45:48-44:48,"{'0:1': ['an', 'O', 1], '3:11': ['expensive', 'B-pricerange', 0], '13:22': ['restaurant', 'O', 1], '24:25': ['in', 'O', 1], '27:29': ['the', 'O', 1], '31:35': ['south', 'B-area', 2], '37:40': ['part', 'O', 1], '42:43': ['of', 'O', 1], '45:48': ['town', 'O', 1]}","{0: ['an', 'O', 1], 3: ['expensive', 'B-pricerange', 0], 13: ['restaurant', 'O', 1], 24: ['in', 'O', 1], 27: ['the', 'O', 1], 31: ['south', 'B-area', 2], 37: ['part', 'O', 1], 42: ['of', 'O', 1], 45: ['town', 'O', 1]}","{'0:2': '0:1', '4:9': '3:11', '11:20': '13:22', '22:23': '24:25', '25:33': '31:35', '35:38': '37:40', '40:42': '42:43', '44:48': '45:48'}","{0: 0, 4: 3, 11: 13, 22: 24, 25: 31, 35: 37, 40: 42, 44: 45}","['O', 'B-pricerange', 'O', 'O', 'B-area', 'O', 'O', 'O']","[1, 0, 1, 1, 2, 1, 1, 1]"
872,sounds good whats the address,request_addr,3,"['O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1]","['sounds', 'good', 'whats', 'the', 'address']","{'text': 'klingt gut, was die Adresse ist', 'to': 'de', 'alignment': {'proj': '0:5-0:5 7:10-7:10 12:16-12:14 12:16-28:30 18:20-16:18 22:28-20:26'}}",1,"klingt gut, was die Adresse ist",0:5-0:5 7:10-7:10 12:16-12:14 12:16-28:30 18:20-16:18 22:28-20:26,"{'0:5': ['sounds', 'O', 1], '7:10': ['good', 'O', 1], '12:16': ['whats', 'O', 1], '18:20': ['the', 'O', 1], '22:28': ['address', 'O', 1]}","{0: ['sounds', 'O', 1], 7: ['good', 'O', 1], 12: ['whats', 'O', 1], 18: ['the', 'O', 1], 22: ['address', 'O', 1]}","{'0:5': '0:5', '7:10': '7:10', '12:14': '12:16', '28:30': '12:16', '16:18': '18:20', '20:26': '22:28'}","{0: 0, 7: 7, 12: 12, 28: 12, 16: 18, 20: 22}","['O', 'O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1, 1]"
873,ya im looking for a restaurant serving persian food,inform_food,6,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-food', 'O']","[1, 1, 1, 1, 1, 1, 1, 3, 1]","['ya', 'im', 'looking', 'for', 'a', 'restaurant', 'serving', 'persian', 'food']","{'text': 'Ya im Suchen nach einem Restaurant mit persischer Küche', 'to': 'de', 'alignment': {'proj': '0:1-0:1 3:4-3:4 6:12-6:11 6:12-13:16 18:18-18:22 20:29-24:33 31:37-35:37 39:45-39:48 47:50-50:54'}}",1,Ya im Suchen nach einem Restaurant mit persischer Küche,0:1-0:1 3:4-3:4 6:12-6:11 6:12-13:16 18:18-18:22 20:29-24:33 31:37-35:37 39:45-39:48 47:50-50:54,"{'0:1': ['ya', 'O', 1], '3:4': ['im', 'O', 1], '6:12': ['looking', 'O', 1], '14:16': ['for', 'O', 1], '18:18': ['a', 'O', 1], '20:29': ['restaurant', 'O', 1], '31:37': ['serving', 'O', 1], '39:45': ['persian', 'B-food', 3], '47:50': ['food', 'O', 1]}","{0: ['ya', 'O', 1], 3: ['im', 'O', 1], 6: ['looking', 'O', 1], 14: ['for', 'O', 1], 18: ['a', 'O', 1], 20: ['restaurant', 'O', 1], 31: ['serving', 'O', 1], 39: ['persian', 'B-food', 3], 47: ['food', 'O', 1]}","{'0:1': '0:1', '3:4': '3:4', '6:11': '6:12', '13:16': '6:12', '18:22': '18:18', '24:33': '20:29', '35:37': '31:37', '39:48': '39:45', '50:54': '47:50'}","{0: 0, 3: 3, 6: 6, 13: 6, 18: 18, 24: 20, 35: 31, 39: 39, 50: 47}","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-food', 'O']","[1, 1, 1, 1, 1, 1, 1, 3, 1]"
874,persian,inform_food,6,['B-food'],[3],['persian'],"{'text': 'Persisch', 'to': 'de', 'alignment': {'proj': '0:6-0:7'}}",1,Persisch,0:6-0:7,"{'0:6': ['persian', 'B-food', 3]}","{0: ['persian', 'B-food', 3]}",{'0:7': '0:6'},{0: 0},['B-food'],[3]
875,okay is it in the north side of town,confirm_area,31,"['O', 'O', 'O', 'O', 'O', 'B-area', 'O', 'O', 'O']","[1, 1, 1, 1, 1, 2, 1, 1, 1]","['okay', 'is', 'it', 'in', 'the', 'north', 'side', 'of', 'town']","{'text': 'okay ist es auf der Nordseite der Stadt', 'to': 'de', 'alignment': {'proj': '0:3-0:3 5:6-5:7 8:9-9:10 11:12-12:14 14:16-16:18 18:22-20:28 29:30-30:32 32:35-34:38'}}",1,okay ist es auf der Nordseite der Stadt,0:3-0:3 5:6-5:7 8:9-9:10 11:12-12:14 14:16-16:18 18:22-20:28 29:30-30:32 32:35-34:38,"{'0:3': ['okay', 'O', 1], '5:6': ['is', 'O', 1], '8:9': ['it', 'O', 1], '11:12': ['in', 'O', 1], '14:16': ['the', 'O', 1], '18:22': ['north', 'B-area', 2], '24:27': ['side', 'O', 1], '29:30': ['of', 'O', 1], '32:35': ['town', 'O', 1]}","{0: ['okay', 'O', 1], 5: ['is', 'O', 1], 8: ['it', 'O', 1], 11: ['in', 'O', 1], 14: ['the', 'O', 1], 18: ['north', 'B-area', 2], 24: ['side', 'O', 1], 29: ['of', 'O', 1], 32: ['town', 'O', 1]}","{'0:3': '0:3', '5:7': '5:6', '9:10': '8:9', '12:14': '11:12', '16:18': '14:16', '20:28': '18:22', '30:32': '29:30', '34:38': '32:35'}","{0: 0, 5: 5, 9: 8, 12: 11, 16: 14, 20: 18, 30: 29, 34: 32}","['O', 'O', 'O', 'O', 'O', 'B-area', 'O', 'O']","[1, 1, 1, 1, 1, 2, 1, 1]"
876,awesome um whats the number,request_phone,4,"['O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1]","['awesome', 'um', 'whats', 'the', 'number']","{'text': 'awesome um was ist die Zahl', 'to': 'de', 'alignment': {'proj': '0:6-0:6 8:9-8:9 11:15-11:13 11:15-15:17 17:19-19:21 21:26-23:26'}}",1,awesome um was ist die Zahl,0:6-0:6 8:9-8:9 11:15-11:13 11:15-15:17 17:19-19:21 21:26-23:26,"{'0:6': ['awesome', 'O', 1], '8:9': ['um', 'O', 1], '11:15': ['whats', 'O', 1], '17:19': ['the', 'O', 1], '21:26': ['number', 'O', 1]}","{0: ['awesome', 'O', 1], 8: ['um', 'O', 1], 11: ['whats', 'O', 1], 17: ['the', 'O', 1], 21: ['number', 'O', 1]}","{'0:6': '0:6', '8:9': '8:9', '11:13': '11:15', '15:17': '11:15', '19:21': '17:19', '23:26': '21:26'}","{0: 0, 8: 8, 11: 11, 15: 11, 19: 17, 23: 21}","['O', 'O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1, 1]"
877,oh my god thank you goodbye,bye__thankyou,5,"['O', 'O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1, 1]","['oh', 'my', 'god', 'thank', 'you', 'goodbye']","{'text': 'oh mein Gott, danke auf Wiedersehen', 'to': 'de', 'alignment': {'proj': '0:1-0:1 3:4-3:6 6:8-8:12 10:14-14:18 20:26-20:22 20:26-24:34'}}",1,"oh mein Gott, danke auf Wiedersehen",0:1-0:1 3:4-3:6 6:8-8:12 10:14-14:18 20:26-20:22 20:26-24:34,"{'0:1': ['oh', 'O', 1], '3:4': ['my', 'O', 1], '6:8': ['god', 'O', 1], '10:14': ['thank', 'O', 1], '16:18': ['you', 'O', 1], '20:26': ['goodbye', 'O', 1]}","{0: ['oh', 'O', 1], 3: ['my', 'O', 1], 6: ['god', 'O', 1], 10: ['thank', 'O', 1], 16: ['you', 'O', 1], 20: ['goodbye', 'O', 1]}","{'0:1': '0:1', '3:6': '3:4', '8:12': '6:8', '14:18': '10:14', '20:22': '20:26', '24:34': '20:26'}","{0: 0, 3: 3, 8: 6, 14: 10, 20: 20, 24: 20}","['O', 'O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1, 1]"
878,moderately priced restaurant that serves indian food,inform_food__inform_pricerange,10,"['B-pricerange', 'O', 'O', 'O', 'O', 'B-food', 'O']","[0, 1, 1, 1, 1, 3, 1]","['moderately', 'priced', 'restaurant', 'that', 'serves', 'indian', 'food']","{'text': 'preisgünstig Restaurant, das indische Küche serviert', 'to': 'de', 'alignment': {'proj': '0:9-0:11 29:32-13:23 29:32-25:27 34:39-44:51 41:46-29:36 48:51-38:42'}}",1,"preisgünstig Restaurant, das indische Küche serviert",0:9-0:11 29:32-13:23 29:32-25:27 34:39-44:51 41:46-29:36 48:51-38:42,"{'0:9': ['moderately', 'B-pricerange', 0], '11:16': ['priced', 'O', 1], '18:27': ['restaurant', 'O', 1], '29:32': ['that', 'O', 1], '34:39': ['serves', 'O', 1], '41:46': ['indian', 'B-food', 3], '48:51': ['food', 'O', 1]}","{0: ['moderately', 'B-pricerange', 0], 11: ['priced', 'O', 1], 18: ['restaurant', 'O', 1], 29: ['that', 'O', 1], 34: ['serves', 'O', 1], 41: ['indian', 'B-food', 3], 48: ['food', 'O', 1]}","{'0:11': '0:9', '13:23': '29:32', '25:27': '29:32', '44:51': '34:39', '29:36': '41:46', '38:42': '48:51'}","{0: 0, 13: 29, 25: 29, 44: 34, 29: 41, 38: 48}","['B-pricerange', 'O', 'O', 'B-food', 'O', 'O']","[0, 1, 1, 3, 1, 1]"
879,and what part of town is it in,request_area,16,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1, 1, 1, 1]","['and', 'what', 'part', 'of', 'town', 'is', 'it', 'in']","{'text': 'und in welchem Teil der Stadt ist es', 'to': 'de', 'alignment': {'proj': '0:2-0:2 4:7-7:13 9:12-15:18 14:15-20:22 17:20-24:28 22:23-30:32 25:26-34:35 28:29-4:5'}}",1,und in welchem Teil der Stadt ist es,0:2-0:2 4:7-7:13 9:12-15:18 14:15-20:22 17:20-24:28 22:23-30:32 25:26-34:35 28:29-4:5,"{'0:2': ['and', 'O', 1], '4:7': ['what', 'O', 1], '9:12': ['part', 'O', 1], '14:15': ['of', 'O', 1], '17:20': ['town', 'O', 1], '22:23': ['is', 'O', 1], '25:26': ['it', 'O', 1], '28:29': ['in', 'O', 1]}","{0: ['and', 'O', 1], 4: ['what', 'O', 1], 9: ['part', 'O', 1], 14: ['of', 'O', 1], 17: ['town', 'O', 1], 22: ['is', 'O', 1], 25: ['it', 'O', 1], 28: ['in', 'O', 1]}","{'0:2': '0:2', '7:13': '4:7', '15:18': '9:12', '20:22': '14:15', '24:28': '17:20', '30:32': '22:23', '34:35': '25:26', '4:5': '28:29'}","{0: 0, 7: 4, 15: 9, 20: 14, 24: 17, 30: 22, 34: 25, 4: 28}","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1, 1, 1, 1]"
880,and where is it,request_addr,3,"['O', 'O', 'O', 'O']","[1, 1, 1, 1]","['and', 'where', 'is', 'it']","{'text': 'und wo ist es', 'to': 'de', 'alignment': {'proj': '0:2-0:2 4:8-4:5 10:11-7:9 13:14-11:12'}}",1,und wo ist es,0:2-0:2 4:8-4:5 10:11-7:9 13:14-11:12,"{'0:2': ['and', 'O', 1], '4:8': ['where', 'O', 1], '10:11': ['is', 'O', 1], '13:14': ['it', 'O', 1]}","{0: ['and', 'O', 1], 4: ['where', 'O', 1], 10: ['is', 'O', 1], 13: ['it', 'O', 1]}","{'0:2': '0:2', '4:5': '4:8', '7:9': '10:11', '11:12': '13:14'}","{0: 0, 4: 4, 7: 10, 11: 13}","['O', 'O', 'O', 'O']","[1, 1, 1, 1]"
881,is that in the north part of town,confirm_area,31,"['O', 'O', 'O', 'O', 'B-area', 'O', 'O', 'O']","[1, 1, 1, 1, 2, 1, 1, 1]","['is', 'that', 'in', 'the', 'north', 'part', 'of', 'town']","{'text': 'ist das im nördlichen Teil der Stadt', 'to': 'de', 'alignment': {'proj': '0:1-0:2 3:6-4:6 8:9-8:9 15:19-11:20 21:24-22:25 26:27-27:29 29:32-31:35'}}",1,ist das im nördlichen Teil der Stadt,0:1-0:2 3:6-4:6 8:9-8:9 15:19-11:20 21:24-22:25 26:27-27:29 29:32-31:35,"{'0:1': ['is', 'O', 1], '3:6': ['that', 'O', 1], '8:9': ['in', 'O', 1], '11:13': ['the', 'O', 1], '15:19': ['north', 'B-area', 2], '21:24': ['part', 'O', 1], '26:27': ['of', 'O', 1], '29:32': ['town', 'O', 1]}","{0: ['is', 'O', 1], 3: ['that', 'O', 1], 8: ['in', 'O', 1], 11: ['the', 'O', 1], 15: ['north', 'B-area', 2], 21: ['part', 'O', 1], 26: ['of', 'O', 1], 29: ['town', 'O', 1]}","{'0:2': '0:1', '4:6': '3:6', '8:9': '8:9', '11:20': '15:19', '22:25': '21:24', '27:29': '26:27', '31:35': '29:32'}","{0: 0, 4: 3, 8: 8, 11: 15, 22: 21, 27: 26, 31: 29}","['O', 'O', 'O', 'B-area', 'O', 'O', 'O']","[1, 1, 1, 2, 1, 1, 1]"
882,um moderate,inform_pricerange,0,"['O', 'B-pricerange']","[1, 0]","['um', 'moderate']","{'text': 'um moderat', 'to': 'de', 'alignment': {'proj': '0:1-0:1 3:10-3:9'}}",1,um moderat,0:1-0:1 3:10-3:9,"{'0:1': ['um', 'O', 1], '3:10': ['moderate', 'B-pricerange', 0]}","{0: ['um', 'O', 1], 3: ['moderate', 'B-pricerange', 0]}","{'0:1': '0:1', '3:9': '3:10'}","{0: 0, 3: 3}","['O', 'B-pricerange']","[1, 0]"
883,restaurant north,inform_area,2,"['O', 'B-area']","[1, 2]","['restaurant', 'north']","{'text': 'Restaurant Nord', 'to': 'de', 'alignment': {'proj': '0:9-0:9 11:15-11:14'}}",1,Restaurant Nord,0:9-0:9 11:15-11:14,"{'0:9': ['restaurant', 'O', 1], '11:15': ['north', 'B-area', 2]}","{0: ['restaurant', 'O', 1], 11: ['north', 'B-area', 2]}","{'0:9': '0:9', '11:14': '11:15'}","{0: 0, 11: 11}","['O', 'B-area']","[1, 2]"
884,welsh food,inform_food,6,"['B-food', 'O']","[3, 1]","['welsh', 'food']","{'text': 'walisisches Essen', 'to': 'de', 'alignment': {'proj': '0:4-0:10 6:9-12:16'}}",1,walisisches Essen,0:4-0:10 6:9-12:16,"{'0:4': ['welsh', 'B-food', 3], '6:9': ['food', 'O', 1]}","{0: ['welsh', 'B-food', 3], 6: ['food', 'O', 1]}","{'0:10': '0:4', '12:16': '6:9'}","{0: 0, 12: 6}","['B-food', 'O']","[3, 1]"
