index,tokens,intent,intents_nums,BIO,BIO_nums,tokens_list,translated,comments,translation,proj,source_dict,source_dict_light,transfer_dict,transfer_dict_light,BIO_list_trans,BIO_nums_list_trans,BIO_list_trans_RU,BIO_nums_list_trans_RU
1039,im looking for a restaurant serving romanian food,inform_food,6,"['O', 'O', 'O', 'O', 'O', 'O', 'B-food', 'O']","[1, 1, 1, 1, 1, 1, 3, 1]","['im', 'looking', 'for', 'a', 'restaurant', 'serving', 'romanian', 'food']","{'text': 'Я ищу ресторан, где подают блюда румынской кухни', 'to': 'ru', 'alignment': {'proj': '0:1-0:0 3:9-2:4 17:26-6:14 28:34-16:18 28:34-20:25 28:34-27:31 36:43-33:41 45:48-43:47'}}",1,"Я ищу ресторан, где подают блюда румынской кухни",0:1-0:0 3:9-2:4 17:26-6:14 28:34-16:18 28:34-20:25 28:34-27:31 36:43-33:41 45:48-43:47,"{'0:1': ['im', 'O', 1], '3:9': ['looking', 'O', 1], '11:13': ['for', 'O', 1], '15:15': ['a', 'O', 1], '17:26': ['restaurant', 'O', 1], '28:34': ['serving', 'O', 1], '36:43': ['romanian', 'B-food', 3], '45:48': ['food', 'O', 1]}","{0: ['im', 'O', 1], 3: ['looking', 'O', 1], 11: ['for', 'O', 1], 15: ['a', 'O', 1], 17: ['restaurant', 'O', 1], 28: ['serving', 'O', 1], 36: ['romanian', 'B-food', 3], 45: ['food', 'O', 1]}","{'0:0': '0:1', '2:4': '3:9', '6:14': '17:26', '16:18': '28:34', '20:25': '28:34', '27:31': '28:34', '33:41': '36:43', '43:47': '45:48'}","{0: 0, 2: 3, 6: 17, 16: 28, 20: 28, 27: 28, 33: 36, 43: 45}","['O', 'O', 'O', 'O', 'O', 'B-food', 'O']","[1, 1, 1, 1, 1, 3, 1]","['O', 'O', 'O', 'O', 'O', 'O', 'B-food', 'O']","[1, 1, 1, 1, 1, 1, 3, 1]"
1040,can i have the phone number and the price range,request_phone__request_pricerange,62,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['can', 'i', 'have', 'the', 'phone', 'number', 'and', 'the', 'price', 'range']","{'text': 'могу ли я иметь номер телефона и ценовой диапазон', 'to': 'ru', 'alignment': {'proj': '0:2-0:3 4:4-8:8 6:9-5:6 6:9-10:14 15:19-22:29 21:26-16:20 28:30-31:31 32:34-33:39 42:46-41:48'}}",1,могу ли я иметь номер телефона и ценовой диапазон,0:2-0:3 4:4-8:8 6:9-5:6 6:9-10:14 15:19-22:29 21:26-16:20 28:30-31:31 32:34-33:39 42:46-41:48,"{'0:2': ['can', 'O', 1], '4:4': ['i', 'O', 1], '6:9': ['have', 'O', 1], '11:13': ['the', 'O', 1], '15:19': ['phone', 'O', 1], '21:26': ['number', 'O', 1], '28:30': ['and', 'O', 1], '32:34': ['the', 'O', 1], '36:40': ['price', 'O', 1], '42:46': ['range', 'O', 1]}","{0: ['can', 'O', 1], 4: ['i', 'O', 1], 6: ['have', 'O', 1], 11: ['the', 'O', 1], 15: ['phone', 'O', 1], 21: ['number', 'O', 1], 28: ['and', 'O', 1], 32: ['the', 'O', 1], 36: ['price', 'O', 1], 42: ['range', 'O', 1]}","{'0:3': '0:2', '8:8': '4:4', '5:6': '6:9', '10:14': '6:9', '22:29': '15:19', '16:20': '21:26', '31:31': '28:30', '33:39': '32:34', '41:48': '42:46'}","{0: 0, 8: 4, 5: 6, 10: 6, 22: 15, 16: 21, 31: 28, 33: 32, 41: 42}","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1, 1, 1, 1]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1, 1, 1, 1, 1]"
1041,id like a cheap restaurant in the north part of town,inform_area__inform_pricerange,8,"['O', 'O', 'O', 'B-pricerange', 'O', 'O', 'O', 'B-area', 'O', 'O', 'O']","[1, 1, 1, 0, 1, 1, 1, 2, 1, 1, 1]","['id', 'like', 'a', 'cheap', 'restaurant', 'in', 'the', 'north', 'part', 'of', 'town']","{'text': 'id как дешевый ресторан в северной части города', 'to': 'ru', 'alignment': {'proj': '0:1-0:1 3:6-3:5 8:8-7:13 16:25-15:22 27:28-24:24 34:38-26:33 40:43-35:39 48:51-41:46'}}",1,id как дешевый ресторан в северной части города,0:1-0:1 3:6-3:5 8:8-7:13 16:25-15:22 27:28-24:24 34:38-26:33 40:43-35:39 48:51-41:46,"{'0:1': ['id', 'O', 1], '3:6': ['like', 'O', 1], '8:8': ['a', 'O', 1], '10:14': ['cheap', 'B-pricerange', 0], '16:25': ['restaurant', 'O', 1], '27:28': ['in', 'O', 1], '30:32': ['the', 'O', 1], '34:38': ['north', 'B-area', 2], '40:43': ['part', 'O', 1], '45:46': ['of', 'O', 1], '48:51': ['town', 'O', 1]}","{0: ['id', 'O', 1], 3: ['like', 'O', 1], 8: ['a', 'O', 1], 10: ['cheap', 'B-pricerange', 0], 16: ['restaurant', 'O', 1], 27: ['in', 'O', 1], 30: ['the', 'O', 1], 34: ['north', 'B-area', 2], 40: ['part', 'O', 1], 45: ['of', 'O', 1], 48: ['town', 'O', 1]}","{'0:1': '0:1', '3:5': '3:6', '7:13': '8:8', '15:22': '16:25', '24:24': '27:28', '26:33': '34:38', '35:39': '40:43', '41:46': '48:51'}","{0: 0, 3: 3, 7: 8, 15: 16, 24: 27, 26: 34, 35: 40, 41: 48}","['O', 'O', 'O', 'B-pricerange', 'O', 'O', 'B-area', 'O', 'O', 'O']","[1, 1, 1, 0, 1, 1, 2, 1, 1, 1]","['O', 'O', 'O', 'O', 'O', 'B-area', 'O', 'O']","[1, 1, 1, 1, 1, 2, 1, 1]"
1042,what is their phone number,request_phone,4,"['O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1]","['what', 'is', 'their', 'phone', 'number']","{'text': 'каков их номер телефона', 'to': 'ru', 'alignment': {'proj': '0:3-0:4 8:12-6:7 14:18-15:22 20:25-9:13'}}",1,каков их номер телефона,0:3-0:4 8:12-6:7 14:18-15:22 20:25-9:13,"{'0:3': ['what', 'O', 1], '5:6': ['is', 'O', 1], '8:12': ['their', 'O', 1], '14:18': ['phone', 'O', 1], '20:25': ['number', 'O', 1]}","{0: ['what', 'O', 1], 5: ['is', 'O', 1], 8: ['their', 'O', 1], 14: ['phone', 'O', 1], 20: ['number', 'O', 1]}","{'0:4': '0:3', '6:7': '8:12', '15:22': '14:18', '9:13': '20:25'}","{0: 0, 6: 8, 15: 14, 9: 20}","['O', 'O', 'O', 'O']","[1, 1, 1, 1]","['O', 'O', 'O', 'O']","[1, 1, 1, 1]"
1043,what is their post code,request_postcode,24,"['O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1]","['what', 'is', 'their', 'post', 'code']","{'text': 'каков их почтовый индекс', 'to': 'ru', 'alignment': {'proj': '0:3-0:4 8:12-6:7 14:17-9:16 19:22-18:23'}}",1,каков их почтовый индекс,0:3-0:4 8:12-6:7 14:17-9:16 19:22-18:23,"{'0:3': ['what', 'O', 1], '5:6': ['is', 'O', 1], '8:12': ['their', 'O', 1], '14:17': ['post', 'O', 1], '19:22': ['code', 'O', 1]}","{0: ['what', 'O', 1], 5: ['is', 'O', 1], 8: ['their', 'O', 1], 14: ['post', 'O', 1], 19: ['code', 'O', 1]}","{'0:4': '0:3', '6:7': '8:12', '9:16': '14:17', '18:23': '19:22'}","{0: 0, 6: 8, 9: 14, 18: 19}","['O', 'O', 'O', 'O']","[1, 1, 1, 1]","['O', 'O', 'O', 'O']","[1, 1, 1, 1]"
1044,i need,unknown,7,"['O', 'O']","[1, 1]","['i', 'need']","{'text': 'Мне нужно', 'to': 'ru', 'alignment': {'proj': '0:0-0:2 2:5-4:8'}}",1,Мне нужно,0:0-0:2 2:5-4:8,"{'0:0': ['i', 'O', 1], '2:5': ['need', 'O', 1]}","{0: ['i', 'O', 1], 2: ['need', 'O', 1]}","{'0:2': '0:0', '4:8': '2:5'}","{0: 0, 4: 2}","['O', 'O']","[1, 1]","['O', 'O']","[1, 1]"
1045,a cheap restaurant in the west part of town,inform_area__inform_pricerange,8,"['O', 'B-pricerange', 'O', 'O', 'O', 'B-area', 'O', 'O', 'O']","[1, 0, 1, 1, 1, 2, 1, 1, 1]","['a', 'cheap', 'restaurant', 'in', 'the', 'west', 'part', 'of', 'town']","{'text': 'недорогой ресторан в западной части города', 'to': 'ru', 'alignment': {'proj': '0:0-0:8 8:17-10:17 19:20-19:19 26:29-21:28 31:34-30:34 39:42-36:41'}}",1,недорогой ресторан в западной части города,0:0-0:8 8:17-10:17 19:20-19:19 26:29-21:28 31:34-30:34 39:42-36:41,"{'0:0': ['a', 'O', 1], '2:6': ['cheap', 'B-pricerange', 0], '8:17': ['restaurant', 'O', 1], '19:20': ['in', 'O', 1], '22:24': ['the', 'O', 1], '26:29': ['west', 'B-area', 2], '31:34': ['part', 'O', 1], '36:37': ['of', 'O', 1], '39:42': ['town', 'O', 1]}","{0: ['a', 'O', 1], 2: ['cheap', 'B-pricerange', 0], 8: ['restaurant', 'O', 1], 19: ['in', 'O', 1], 22: ['the', 'O', 1], 26: ['west', 'B-area', 2], 31: ['part', 'O', 1], 36: ['of', 'O', 1], 39: ['town', 'O', 1]}","{'0:8': '0:0', '10:17': '8:17', '19:19': '19:20', '21:28': '26:29', '30:34': '31:34', '36:41': '39:42'}","{0: 0, 10: 8, 19: 19, 21: 26, 30: 31, 36: 39}","['O', 'B-pricerange', 'O', 'O', 'B-area', 'O', 'O', 'O']","[1, 0, 1, 1, 2, 1, 1, 1]","['O', 'O', 'O', 'B-area', 'O', 'O']","[1, 1, 1, 2, 1, 1]"
1046,can i get a restaurant in the south part of town that serves cuban food,inform_area__inform_food,28,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-area', 'O', 'O', 'O', 'O', 'O', 'B-food', 'O']","[1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 3, 1]","['can', 'i', 'get', 'a', 'restaurant', 'in', 'the', 'south', 'part', 'of', 'town', 'that', 'serves', 'cuban', 'food']","{'text': 'Могу ли я получить ресторан в южной части города, где подают кубинскую кухню', 'to': 'ru', 'alignment': {'proj': '0:2-0:3 0:2-5:6 4:4-8:8 6:8-10:17 12:21-19:26 23:24-28:28 30:34-30:34 36:39-36:40 49:52-42:48 49:52-50:52 54:59-54:59 61:65-61:69 67:70-71:75'}}",1,"Могу ли я получить ресторан в южной части города, где подают кубинскую кухню",0:2-0:3 0:2-5:6 4:4-8:8 6:8-10:17 12:21-19:26 23:24-28:28 30:34-30:34 36:39-36:40 49:52-42:48 49:52-50:52 54:59-54:59 61:65-61:69 67:70-71:75,"{'0:2': ['can', 'O', 1], '4:4': ['i', 'O', 1], '6:8': ['get', 'O', 1], '10:10': ['a', 'O', 1], '12:21': ['restaurant', 'O', 1], '23:24': ['in', 'O', 1], '26:28': ['the', 'O', 1], '30:34': ['south', 'B-area', 2], '36:39': ['part', 'O', 1], '41:42': ['of', 'O', 1], '44:47': ['town', 'O', 1], '49:52': ['that', 'O', 1], '54:59': ['serves', 'O', 1], '61:65': ['cuban', 'B-food', 3], '67:70': ['food', 'O', 1]}","{0: ['can', 'O', 1], 4: ['i', 'O', 1], 6: ['get', 'O', 1], 10: ['a', 'O', 1], 12: ['restaurant', 'O', 1], 23: ['in', 'O', 1], 26: ['the', 'O', 1], 30: ['south', 'B-area', 2], 36: ['part', 'O', 1], 41: ['of', 'O', 1], 44: ['town', 'O', 1], 49: ['that', 'O', 1], 54: ['serves', 'O', 1], 61: ['cuban', 'B-food', 3], 67: ['food', 'O', 1]}","{'0:3': '0:2', '5:6': '0:2', '8:8': '4:4', '10:17': '6:8', '19:26': '12:21', '28:28': '23:24', '30:34': '30:34', '36:40': '36:39', '42:48': '49:52', '50:52': '49:52', '54:59': '54:59', '61:69': '61:65', '71:75': '67:70'}","{0: 0, 5: 0, 8: 4, 10: 6, 19: 12, 28: 23, 30: 30, 36: 36, 42: 49, 50: 49, 54: 54, 61: 61, 71: 67}","['O', 'O', 'O', 'O', 'O', 'B-area', 'O', 'O', 'O', 'O', 'O', 'B-food', 'O', 'O']","[1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 3, 1, 1]","['O', 'O', 'O', 'O', 'O', 'O', 'B-area', 'O', 'O', 'O', 'O', 'B-food', 'O']","[1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 3, 1]"
1047,okay can i have the phone number,request_phone,4,"['O', 'O', 'O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1, 1, 1]","['okay', 'can', 'i', 'have', 'the', 'phone', 'number']","{'text': 'Хорошо, у меня есть номер телефона', 'to': 'ru', 'alignment': {'proj': '0:3-0:6 5:7-8:8 9:9-10:13 11:14-15:18 20:24-26:33 26:31-20:24'}}",1,"Хорошо, у меня есть номер телефона",0:3-0:6 5:7-8:8 9:9-10:13 11:14-15:18 20:24-26:33 26:31-20:24,"{'0:3': ['okay', 'O', 1], '5:7': ['can', 'O', 1], '9:9': ['i', 'O', 1], '11:14': ['have', 'O', 1], '16:18': ['the', 'O', 1], '20:24': ['phone', 'O', 1], '26:31': ['number', 'O', 1]}","{0: ['okay', 'O', 1], 5: ['can', 'O', 1], 9: ['i', 'O', 1], 11: ['have', 'O', 1], 16: ['the', 'O', 1], 20: ['phone', 'O', 1], 26: ['number', 'O', 1]}","{'0:6': '0:3', '8:8': '5:7', '10:13': '9:9', '15:18': '11:14', '26:33': '20:24', '20:24': '26:31'}","{0: 0, 8: 5, 10: 9, 15: 11, 26: 20, 20: 26}","['O', 'O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1, 1]","['O', 'O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1, 1]"
1048,im looking for a restaurant in any area and it should serve turkish,inform_area__inform_food,28,"['O', 'O', 'O', 'O', 'O', 'O', 'B-area', 'I-area', 'O', 'O', 'O', 'O', 'B-food']","[1, 1, 1, 1, 1, 1, 2, 10, 1, 1, 1, 1, 3]","['im', 'looking', 'for', 'a', 'restaurant', 'in', 'any', 'area', 'and', 'it', 'should', 'serve', 'turkish']","{'text': 'Я ищу ресторан в любом районе и он должен подавать турецкий', 'to': 'ru', 'alignment': {'proj': '0:1-0:0 3:9-2:4 17:26-6:13 28:29-15:15 31:33-17:21 35:38-23:28 40:42-30:30 44:45-32:33 47:52-35:40 54:58-42:49 60:66-51:58'}}",1,Я ищу ресторан в любом районе и он должен подавать турецкий,0:1-0:0 3:9-2:4 17:26-6:13 28:29-15:15 31:33-17:21 35:38-23:28 40:42-30:30 44:45-32:33 47:52-35:40 54:58-42:49 60:66-51:58,"{'0:1': ['im', 'O', 1], '3:9': ['looking', 'O', 1], '11:13': ['for', 'O', 1], '15:15': ['a', 'O', 1], '17:26': ['restaurant', 'O', 1], '28:29': ['in', 'O', 1], '31:33': ['any', 'B-area', 2], '35:38': ['area', 'I-area', 10], '40:42': ['and', 'O', 1], '44:45': ['it', 'O', 1], '47:52': ['should', 'O', 1], '54:58': ['serve', 'O', 1], '60:66': ['turkish', 'B-food', 3]}","{0: ['im', 'O', 1], 3: ['looking', 'O', 1], 11: ['for', 'O', 1], 15: ['a', 'O', 1], 17: ['restaurant', 'O', 1], 28: ['in', 'O', 1], 31: ['any', 'B-area', 2], 35: ['area', 'I-area', 10], 40: ['and', 'O', 1], 44: ['it', 'O', 1], 47: ['should', 'O', 1], 54: ['serve', 'O', 1], 60: ['turkish', 'B-food', 3]}","{'0:0': '0:1', '2:4': '3:9', '6:13': '17:26', '15:15': '28:29', '17:21': '31:33', '23:28': '35:38', '30:30': '40:42', '32:33': '44:45', '35:40': '47:52', '42:49': '54:58', '51:58': '60:66'}","{0: 0, 2: 3, 6: 17, 15: 28, 17: 31, 23: 35, 30: 40, 32: 44, 35: 47, 42: 54, 51: 60}","['O', 'O', 'O', 'O', 'O', 'O', 'B-area', 'I-area', 'O', 'O', 'O', 'B-food', 'O']","[1, 1, 1, 1, 1, 1, 2, 10, 1, 1, 1, 3, 1]","['O', 'O', 'O', 'O', 'B-area', 'I-area', 'O', 'O', 'O', 'O', 'B-food']","[1, 1, 1, 1, 2, 10, 1, 1, 1, 1, 3]"
1049,cheap restaurant in the south part of town,inform_area__inform_pricerange,8,"['B-pricerange', 'O', 'O', 'O', 'B-area', 'O', 'O', 'O']","[0, 1, 1, 1, 2, 1, 1, 1]","['cheap', 'restaurant', 'in', 'the', 'south', 'part', 'of', 'town']","{'text': 'недорогой ресторан в южной части города', 'to': 'ru', 'alignment': {'proj': '0:4-0:8 6:15-10:17 17:18-19:19 24:28-21:25 30:33-27:31 38:41-33:38'}}",1,недорогой ресторан в южной части города,0:4-0:8 6:15-10:17 17:18-19:19 24:28-21:25 30:33-27:31 38:41-33:38,"{'0:4': ['cheap', 'B-pricerange', 0], '6:15': ['restaurant', 'O', 1], '17:18': ['in', 'O', 1], '20:22': ['the', 'O', 1], '24:28': ['south', 'B-area', 2], '30:33': ['part', 'O', 1], '35:36': ['of', 'O', 1], '38:41': ['town', 'O', 1]}","{0: ['cheap', 'B-pricerange', 0], 6: ['restaurant', 'O', 1], 17: ['in', 'O', 1], 20: ['the', 'O', 1], 24: ['south', 'B-area', 2], 30: ['part', 'O', 1], 35: ['of', 'O', 1], 38: ['town', 'O', 1]}","{'0:8': '0:4', '10:17': '6:15', '19:19': '17:18', '21:25': '24:28', '27:31': '30:33', '33:38': '38:41'}","{0: 0, 10: 6, 19: 17, 21: 24, 27: 30, 33: 38}","['B-pricerange', 'O', 'O', 'B-area', 'O', 'O', 'O']","[0, 1, 1, 2, 1, 1, 1]","['B-pricerange', 'O', 'O', 'B-area', 'O', 'O']","[0, 1, 1, 2, 1, 1]"
1050,iam looking for a cheap restaurant and it should be in the north part of town,inform_area__inform_pricerange,8,"['O', 'O', 'O', 'O', 'B-pricerange', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-area', 'O', 'O', 'O']","[1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1]","['iam', 'looking', 'for', 'a', 'cheap', 'restaurant', 'and', 'it', 'should', 'be', 'in', 'the', 'north', 'part', 'of', 'town']","{'text': 'Я ищу дешевый ресторан и он должен быть в северной части города', 'to': 'ru', 'alignment': {'proj': '0:2-0:0 4:10-2:4 16:16-6:12 24:33-14:21 35:37-23:23 39:40-25:26 42:47-28:33 49:50-35:38 52:53-40:40 59:63-42:49 65:68-51:55 73:76-57:62'}}",1,Я ищу дешевый ресторан и он должен быть в северной части города,0:2-0:0 4:10-2:4 16:16-6:12 24:33-14:21 35:37-23:23 39:40-25:26 42:47-28:33 49:50-35:38 52:53-40:40 59:63-42:49 65:68-51:55 73:76-57:62,"{'0:2': ['iam', 'O', 1], '4:10': ['looking', 'O', 1], '12:14': ['for', 'O', 1], '16:16': ['a', 'O', 1], '18:22': ['cheap', 'B-pricerange', 0], '24:33': ['restaurant', 'O', 1], '35:37': ['and', 'O', 1], '39:40': ['it', 'O', 1], '42:47': ['should', 'O', 1], '49:50': ['be', 'O', 1], '52:53': ['in', 'O', 1], '55:57': ['the', 'O', 1], '59:63': ['north', 'B-area', 2], '65:68': ['part', 'O', 1], '70:71': ['of', 'O', 1], '73:76': ['town', 'O', 1]}","{0: ['iam', 'O', 1], 4: ['looking', 'O', 1], 12: ['for', 'O', 1], 16: ['a', 'O', 1], 18: ['cheap', 'B-pricerange', 0], 24: ['restaurant', 'O', 1], 35: ['and', 'O', 1], 39: ['it', 'O', 1], 42: ['should', 'O', 1], 49: ['be', 'O', 1], 52: ['in', 'O', 1], 55: ['the', 'O', 1], 59: ['north', 'B-area', 2], 65: ['part', 'O', 1], 70: ['of', 'O', 1], 73: ['town', 'O', 1]}","{'0:0': '0:2', '2:4': '4:10', '6:12': '16:16', '14:21': '24:33', '23:23': '35:37', '25:26': '39:40', '28:33': '42:47', '35:38': '49:50', '40:40': '52:53', '42:49': '59:63', '51:55': '65:68', '57:62': '73:76'}","{0: 0, 2: 4, 6: 16, 14: 24, 23: 35, 25: 39, 28: 42, 35: 49, 40: 52, 42: 59, 51: 65, 57: 73}","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-pricerange', 'O', 'O', 'O', 'O', 'O', 'B-area', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-area', 'O', 'O']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1]"
1051,there any other,reqalts,23,"['O', 'O', 'O']","[1, 1, 1]","['there', 'any', 'other']","{'text': 'есть и другие', 'to': 'ru', 'alignment': {'proj': '0:4-0:3 6:8-5:5 6:8-7:12'}}",1,есть и другие,0:4-0:3 6:8-5:5 6:8-7:12,"{'0:4': ['there', 'O', 1], '6:8': ['any', 'O', 1], '10:14': ['other', 'O', 1]}","{0: ['there', 'O', 1], 6: ['any', 'O', 1], 10: ['other', 'O', 1]}","{'0:3': '0:4', '5:5': '6:8', '7:12': '6:8'}","{0: 0, 5: 6, 7: 6}","['O', 'O', 'O', 'O']","[1, 1, 1, 1]","['O', 'O', 'O']","[1, 1, 1]"
1052,could i have another one,reqalts,23,"['O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1]","['could', 'i', 'have', 'another', 'one']","{'text': 'Могу ли я иметь еще один', 'to': 'ru', 'alignment': {'proj': '0:4-0:3 0:4-5:6 6:6-8:8 8:11-10:14 13:19-16:18 21:23-20:23'}}",1,Могу ли я иметь еще один,0:4-0:3 0:4-5:6 6:6-8:8 8:11-10:14 13:19-16:18 21:23-20:23,"{'0:4': ['could', 'O', 1], '6:6': ['i', 'O', 1], '8:11': ['have', 'O', 1], '13:19': ['another', 'O', 1], '21:23': ['one', 'O', 1]}","{0: ['could', 'O', 1], 6: ['i', 'O', 1], 8: ['have', 'O', 1], 13: ['another', 'O', 1], 21: ['one', 'O', 1]}","{'0:3': '0:4', '5:6': '0:4', '8:8': '6:6', '10:14': '8:11', '16:18': '13:19', '20:23': '21:23'}","{0: 0, 5: 0, 8: 6, 10: 8, 16: 13, 20: 21}","['O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1]","['O', 'O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1, 1]"
1053,could i have the address and phone number of the venue,request_addr__request_phone,9,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","['could', 'i', 'have', 'the', 'address', 'and', 'phone', 'number', 'of', 'the', 'venue']","{'text': 'Могу ли я получить адрес и номер телефона места проведения', 'to': 'ru', 'alignment': {'proj': '0:4-0:3 0:4-5:6 6:6-8:8 8:11-10:17 17:23-19:23 25:27-25:25 29:33-33:40 35:40-27:31 49:53-42:46 49:53-48:57'}}",1,Могу ли я получить адрес и номер телефона места проведения,0:4-0:3 0:4-5:6 6:6-8:8 8:11-10:17 17:23-19:23 25:27-25:25 29:33-33:40 35:40-27:31 49:53-42:46 49:53-48:57,"{'0:4': ['could', 'O', 1], '6:6': ['i', 'O', 1], '8:11': ['have', 'O', 1], '13:15': ['the', 'O', 1], '17:23': ['address', 'O', 1], '25:27': ['and', 'O', 1], '29:33': ['phone', 'O', 1], '35:40': ['number', 'O', 1], '42:43': ['of', 'O', 1], '45:47': ['the', 'O', 1], '49:53': ['venue', 'O', 1]}","{0: ['could', 'O', 1], 6: ['i', 'O', 1], 8: ['have', 'O', 1], 13: ['the', 'O', 1], 17: ['address', 'O', 1], 25: ['and', 'O', 1], 29: ['phone', 'O', 1], 35: ['number', 'O', 1], 42: ['of', 'O', 1], 45: ['the', 'O', 1], 49: ['venue', 'O', 1]}","{'0:3': '0:4', '5:6': '0:4', '8:8': '6:6', '10:17': '8:11', '19:23': '17:23', '25:25': '25:27', '33:40': '29:33', '27:31': '35:40', '42:46': '49:53', '48:57': '49:53'}","{0: 0, 5: 0, 8: 6, 10: 8, 19: 17, 25: 25, 33: 29, 27: 35, 42: 49, 48: 49}","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1, 1, 1, 1, 1]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
1054,moderately priced restaurant south part of town,inform_area__inform_pricerange,8,"['B-pricerange', 'O', 'O', 'B-area', 'O', 'O', 'O']","[0, 1, 1, 2, 1, 1, 1]","['moderately', 'priced', 'restaurant', 'south', 'part', 'of', 'town']","{'text': 'ресторан по умеренной цене в южной части города', 'to': 'ru', 'alignment': {'proj': '0:9-0:7 0:9-12:20 11:16-22:25 29:33-27:27 29:33-29:33 35:38-35:39 43:46-41:46'}}",1,ресторан по умеренной цене в южной части города,0:9-0:7 0:9-12:20 11:16-22:25 29:33-27:27 29:33-29:33 35:38-35:39 43:46-41:46,"{'0:9': ['moderately', 'B-pricerange', 0], '11:16': ['priced', 'O', 1], '18:27': ['restaurant', 'O', 1], '29:33': ['south', 'B-area', 2], '35:38': ['part', 'O', 1], '40:41': ['of', 'O', 1], '43:46': ['town', 'O', 1]}","{0: ['moderately', 'B-pricerange', 0], 11: ['priced', 'O', 1], 18: ['restaurant', 'O', 1], 29: ['south', 'B-area', 2], 35: ['part', 'O', 1], 40: ['of', 'O', 1], 43: ['town', 'O', 1]}","{'0:7': '0:9', '12:20': '0:9', '22:25': '11:16', '27:27': '29:33', '29:33': '29:33', '35:39': '35:38', '41:46': '43:46'}","{0: 0, 12: 0, 22: 11, 27: 29, 29: 29, 35: 35, 41: 43}","['O', 'O', 'B-area', 'O', 'O', 'O']","[1, 1, 2, 1, 1, 1]","['B-pricerange', -100, 'B-pricerange', 'O', 'B-area', 'B-area', 'O', 'O']","[0, -100, 0, 1, 2, 2, 1, 1]"
